domain,image_id,image_file,prompt,notes
ui,example_01,ui/example_01.png,blue submit button,replace with real file under experiments/ood/images/
ui,example_02,ui/example_02.png,search bar on the top,replace with real file
robotics,example_01,robotics/example_01.png,transparent bottle near the gripper,replace with real file
robotics,example_02,robotics/example_02.png,red block left of the arm,replace with real file
aerial,example_01,aerial/example_01.png,small white building next to the road,replace with real file
aerial,example_02,aerial/example_02.png,parking lot lower right,replace with real file
microscopy,example_01,microscopy/example_01.png,dark circular region near the edge,replace with real file
microscopy,example_02,microscopy/example_02.png,bright scratch in the center,replace with real file
documents,example_01,documents/example_01.png,title text block at the top,replace with real file
documents,example_02,documents/example_02.png,legend box bottom right,replace with real file
